itemcf_weight,mf_weight,usercf_weight,fold_1_rmse,fold_2_rmse,fold_3_rmse,fold_4_rmse,fold_5_rmse,mean_rmse,std_rmse
0.430000,0.450000,0.120000,16.802895,16.897256,16.871778,16.816859,16.798105,16.837379,0.039802
0.440000,0.450000,0.110000,16.803559,16.897520,16.871473,16.816872,16.797783,16.837441,0.039778
0.420000,0.450000,0.130000,16.802442,16.897207,16.872298,16.817066,16.798649,16.837532,0.039829
0.440000,0.440000,0.120000,16.803195,16.897556,16.871923,16.817313,16.798335,16.837665,0.039774
0.450000,0.450000,0.100000,16.804432,16.897999,16.871384,16.817106,16.797682,16.837721,0.039756
0.430000,0.440000,0.130000,16.802682,16.897447,16.872386,16.817461,16.798817,16.837759,0.039801
0.450000,0.440000,0.110000,16.803919,16.897881,16.871676,16.817386,16.798075,16.837787,0.039749
0.410000,0.450000,0.140000,16.802199,16.897374,16.873033,16.817493,16.799413,16.837902,0.039859
0.420000,0.440000,0.140000,16.802379,16.897554,16.873064,16.817829,16.799519,16.838069,0.039831
0.450000,0.430000,0.120000,16.803620,16.897977,16.872186,16.817887,16.798688,16.838072,0.039744
0.440000,0.430000,0.130000,16.803047,16.897807,16.872591,16.817976,16.799108,16.838106,0.039771
0.460000,0.440000,0.100000,16.804852,16.898420,16.871644,16.817678,16.798036,16.838126,0.039727
0.460000,0.450000,0.090000,16.805516,16.898694,16.871510,16.817560,16.797803,16.838216,0.039737
0.460000,0.430000,0.110000,16.804404,16.898361,16.871996,16.818019,16.798490,16.838254,0.039719
0.430000,0.430000,0.140000,16.802684,16.897853,16.873212,16.818285,16.799749,16.838357,0.039802
0.400000,0.450000,0.150000,16.802166,16.897755,16.873984,16.818140,16.800399,16.838489,0.039891
0.450000,0.420000,0.130000,16.803537,16.898288,16.872914,16.818611,16.799519,16.838574,0.039740
0.410000,0.440000,0.150000,16.802286,16.897875,16.873957,16.818417,16.800443,16.838596,0.039864
0.460000,0.420000,0.120000,16.804170,16.898517,16.872566,16.818581,16.799161,16.838599,0.039712
0.470000,0.430000,0.100000,16.805397,16.898961,16.872021,16.818371,16.798513,16.838653,0.039696
0.470000,0.440000,0.090000,16.805996,16.899175,16.871827,16.818191,16.798218,16.838681,0.039708
0.440000,0.420000,0.140000,16.803113,16.898273,16.873477,16.818860,16.800097,16.838764,0.039771
0.420000,0.430000,0.150000,16.802531,16.898115,16.874048,16.818814,16.800610,16.838824,0.039835
0.470000,0.420000,0.110000,16.805014,16.898962,16.872433,16.818772,16.799025,16.838841,0.039687
0.470000,0.450000,0.080000,16.806809,16.899603,16.871851,16.818233,16.798144,16.838928,0.039721
0.460000,0.410000,0.130000,16.804151,16.898888,16.873354,16.819365,16.800053,16.839162,0.039708
0.430000,0.420000,0.150000,16.802900,16.898475,16.874256,16.819330,16.800897,16.839172,0.039805
0.470000,0.410000,0.120000,16.804845,16.899178,16.873062,16.819395,16.799757,16.839247,0.039679
0.480000,0.430000,0.090000,16.806601,16.899776,16.872261,16.818942,16.798757,16.839268,0.039677
0.450000,0.410000,0.140000,16.803668,16.898814,16.873860,16.819556,16.800569,16.839293,0.039739
0.480000,0.420000,0.100000,16.806067,16.899622,16.872515,16.819183,16.799110,16.839299,0.039665
0.400000,0.440000,0.160000,16.802403,16.898412,16.875066,16.819225,16.801588,16.839339,0.039900
0.480000,0.440000,0.080000,16.807349,16.900145,16.872225,16.818924,16.798621,16.839453,0.039691
0.410000,0.430000,0.160000,16.802588,16.898591,16.875100,16.819563,16.801693,16.839507,0.039871
0.480000,0.410000,0.110000,16.805748,16.899683,16.872987,16.819645,16.799683,16.839549,0.039654
0.440000,0.410000,0.150000,16.803395,16.898954,16.874581,16.819966,16.801307,16.839641,0.039773
0.420000,0.420000,0.160000,16.802897,16.898891,16.875250,16.820020,16.801918,16.839795,0.039841
0.480000,0.450000,0.070000,16.808313,16.900728,16.872407,16.819127,16.798707,16.839856,0.039706
0.470000,0.400000,0.130000,16.804891,16.899608,16.873910,16.820239,16.800710,16.839872,0.039673
0.460000,0.400000,0.140000,16.804347,16.899474,16.874359,16.820371,16.801165,16.839943,0.039705
0.490000,0.420000,0.090000,16.807331,16.900498,16.872813,16.819813,16.799416,16.839974,0.039645
0.480000,0.400000,0.120000,16.805644,16.899958,16.873676,16.820328,16.800476,16.840017,0.039645
0.490000,0.410000,0.100000,16.806862,16.900403,16.873126,16.820114,16.799830,16.840067,0.039631
0.490000,0.430000,0.080000,16.808014,16.900807,16.872717,16.819734,16.799222,16.840099,0.039660
0.430000,0.410000,0.160000,16.803331,16.899310,16.875518,16.820597,16.802266,16.840205,0.039809
0.450000,0.400000,0.150000,16.804014,16.899554,16.875024,16.820722,16.801841,16.840231,0.039739
0.490000,0.400000,0.110000,16.806608,16.900524,16.873658,16.820635,16.800464,16.840378,0.039619
0.400000,0.430000,0.170000,16.802855,16.899283,16.876366,16.820532,16.802997,16.840407,0.039910
0.490000,0.440000,0.070000,16.808913,16.901330,16.872839,16.819877,16.799246,16.840441,0.039676
0.410000,0.420000,0.170000,16.803104,16.899522,16.876460,16.820930,16.803160,16.840635,0.039881
0.480000,0.390000,0.130000,16.805755,16.900449,16.874584,16.821226,16.801490,16.840701,0.039638
0.470000,0.390000,0.140000,16.805151,16.900254,16.874976,16.821299,16.801883,16.840713,0.039669
0.440000,0.400000,0.160000,16.803891,16.899850,16.875903,16.821294,16.802738,16.840735,0.039776
0.500000,0.410000,0.090000,16.808185,16.901339,16.873481,16.820804,16.800198,16.840801,0.039611
0.500000,0.420000,0.080000,16.808804,16.901588,16.873326,16.820664,16.799944,16.840865,0.039627
0.490000,0.390000,0.120000,16.806568,16.900859,16.874408,16.821372,16.801319,16.840905,0.039609
0.460000,0.390000,0.150000,16.804758,16.900274,16.875583,16.821593,16.802498,16.840941,0.039704
0.500000,0.400000,0.100000,16.807781,16.901304,16.873855,16.821163,16.800672,16.840955,0.039596
0.420000,0.410000,0.170000,16.803478,16.899882,16.876670,16.821448,16.803447,16.840985,0.039849
0.490000,0.450000,0.060000,16.810026,16.902069,16.873179,16.820241,16.799491,16.841001,0.039694
0.500000,0.430000,0.070000,16.809638,16.902052,16.873388,16.820746,16.799909,16.841147,0.039645
0.500000,0.390000,0.110000,16.807592,16.901485,16.874446,16.821738,16.801368,16.841326,0.039584
0.450000,0.390000,0.160000,16.804575,16.900509,16.876405,16.822107,16.803333,16.841386,0.039741
0.430000,0.400000,0.170000,16.803978,16.900361,16.876998,16.822085,16.803856,16.841456,0.039816
0.480000,0.380000,0.140000,16.806080,16.901154,16.875710,16.822345,16.802725,16.841603,0.039633
0.500000,0.440000,0.060000,16.810686,16.902731,16.873668,16.821050,16.800092,16.841645,0.039664
0.490000,0.380000,0.130000,16.806744,16.901409,16.875375,16.822331,16.802394,16.841651,0.039601
0.400000,0.420000,0.180000,16.803521,16.900369,16.877884,16.822060,16.804623,16.841692,0.039923
0.510000,0.400000,0.090000,16.809165,16.902300,16.874267,16.821910,16.801102,16.841749,0.039576
0.510000,0.410000,0.080000,16.809719,16.902490,16.874051,16.821714,16.800787,16.841752,0.039593
0.470000,0.380000,0.150000,16.805627,16.901114,16.876259,16.822580,16.803278,16.841771,0.039667
0.500000,0.380000,0.120000,16.807617,16.901880,16.875256,16.822536,16.802284,16.841915,0.039572
0.510000,0.390000,0.100000,16.808825,16.902325,16.874700,16.822325,16.801639,16.841963,0.039560
0.510000,0.420000,0.070000,16.810488,16.902894,16.874054,16.821735,16.800692,16.841973,0.039612
0.410000,0.410000,0.180000,16.803836,16.900668,16.878038,16.822518,16.804848,16.841982,0.039892
