blend,models,weights,fold_1_rmse,fold_2_rmse,fold_3_rmse,fold_4_rmse,fold_5_rmse,mean_rmse,std_rmse
Triple_ItemCFb_MF_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned+UserCF_tuned,0.50+0.35+0.15,16.861803,16.939033,16.921729,16.867338,16.846839,16.887348,0.036186
Triple_ItemCFb_MFb_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.50+0.35+0.15,16.865702,16.941935,16.920444,16.868117,16.846239,16.888488,0.036323
Triple_ItemCFb_MF_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned+UserCF_tuned,0.55+0.30+0.15,16.862300,16.941464,16.921467,16.869925,16.847970,16.888625,0.036238
Triple_ItemCFb_MF_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned+UserCF_tuned,0.45+0.35+0.20,16.860055,16.939588,16.925788,16.868944,16.850741,16.889023,0.036377
Triple_ItemCFb_MF_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned+UserCF_tuned,0.50+0.30+0.20,16.859350,16.940746,16.924352,16.870356,16.850636,16.889088,0.036403
Triple_ItemCFb_MF_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned+UserCF_tuned,0.45+0.40+0.15,16.864346,16.939625,16.925115,16.867739,16.848800,16.889125,0.036175
Triple_ItemCFb_MFb_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.45+0.35+0.20,16.862885,16.941545,16.923494,16.868725,16.849131,16.889156,0.036423
Triple_ItemCFb_MFb_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.45+0.40+0.15,16.867917,16.942165,16.922770,16.867814,16.847218,16.889577,0.036344
Triple_ItemCFb_MFb_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.50+0.30+0.20,16.862438,16.943030,16.923042,16.870776,16.849927,16.889842,0.036439
Triple_ItemCFb_MFb_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.55+0.30+0.15,16.866289,16.944559,16.921051,16.871212,16.848125,16.890247,0.036357
Triple_ItemCFb_MF_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned+UserCF_tuned,0.55+0.35+0.10,16.868771,16.943841,16.923037,16.871210,16.848407,16.891053,0.036107
Triple_ItemCFb_MFb_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.40+0.40+0.20,16.866184,16.942915,16.926952,16.869456,16.851328,16.891367,0.036444
Triple_ItemCFb_MF_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned+UserCF_tuned,0.50+0.40+0.10,16.870077,16.943148,16.925145,16.870428,16.849047,16.891569,0.036068
Triple_ItemCFb_MF_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned+UserCF_tuned,0.40+0.40+0.20,16.863848,16.941471,16.930450,16.870537,16.854061,16.892074,0.036382
Triple_ItemCFb_MF_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned+UserCF_tuned,0.55+0.25+0.20,16.861650,16.945018,16.925834,16.874745,16.853556,16.892161,0.036475
Triple_ItemCFb_MF_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned+UserCF_tuned,0.60+0.25+0.15,16.865669,16.946992,16.924076,16.875503,16.852216,16.892891,0.036325
Triple_ItemCFb_MFb_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.50+0.40+0.10,16.874869,16.946770,16.923955,16.871646,16.848621,16.893172,0.036342
Triple_ItemCFb_MFb_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.55+0.35+0.10,16.873724,16.947692,16.922762,16.872993,16.848819,16.893198,0.036333
Triple_ItemCFb_MFb_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.55+0.25+0.20,16.864756,16.947429,16.925314,16.875617,16.853523,16.893328,0.036509
Triple_ItemCFb_MF_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned+UserCF_tuned,0.60+0.30+0.10,16.870337,16.947528,16.923802,16.874977,16.850807,16.893490,0.036165
Triple_ItemCFb_MFb_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.40+0.45+0.15,16.872981,16.945255,16.928098,16.870289,16.851220,16.893569,0.036395
Triple_ItemCFb_MF_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned+UserCF_tuned,0.40+0.45+0.15,16.869976,16.943327,16.931722,16.871145,16.854005,16.894035,0.036208
Triple_ItemCFb_MFb_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.45+0.30+0.25,16.863760,16.946867,16.930323,16.875822,16.857141,16.894783,0.036646
Triple_ItemCFb_MFb_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.60+0.25+0.15,16.869528,16.950096,16.924277,16.877098,16.852916,16.894783,0.036422
Triple_ItemCFb_MF_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned+UserCF_tuned,0.45+0.30+0.25,16.861587,16.945389,16.932498,16.876254,16.858715,16.894889,0.036686
Triple_ItemCFb_MF_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned+UserCF_tuned,0.45+0.45+0.10,16.874457,16.945570,16.930476,16.872641,16.852890,16.895207,0.036086
Triple_ItemCFb_MFb_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.40+0.35+0.25,16.865291,16.946509,16.931908,16.874809,16.857533,16.895210,0.036631
Triple_ItemCFb_MFb_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.60+0.30+0.10,16.875229,16.951453,16.924253,16.877132,16.851829,16.895979,0.036364
Triple_ItemCFb_MFb_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.45+0.45+0.10,16.878850,16.948729,16.928150,16.873089,16.851404,16.896044,0.036392
Triple_ItemCFb_MF_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned+UserCF_tuned,0.40+0.35+0.25,16.863542,16.945510,16.935211,16.876036,16.860149,16.896089,0.036677
Triple_ItemCFb_MFb_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.35+0.45+0.20,16.872344,16.947128,16.933411,16.872972,16.856537,16.896478,0.036496
Triple_ItemCFb_MF_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned+UserCF_tuned,0.50+0.25+0.25,16.862721,16.948394,16.932951,16.879470,16.860373,16.896782,0.036763
Triple_ItemCFb_MFb_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.50+0.25+0.25,16.865076,16.950127,16.931710,16.879618,16.859617,16.897229,0.036731
Triple_ItemCFb_MF_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned+UserCF_tuned,0.35+0.45+0.20,16.870728,16.946451,16.938333,16.875137,16.860630,16.898256,0.036433
Triple_ItemCFb_MF_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned+UserCF_tuned,0.60+0.20+0.20,16.866812,16.952392,16.930384,16.882132,16.859634,16.898271,0.036615
Triple_ItemCFb_MFb_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.35+0.40+0.25,16.869684,16.949015,16.936496,16.876577,16.860940,16.898543,0.036653
Triple_ItemCFb_MF_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned+UserCF_tuned,0.65+0.25+0.10,16.874865,16.954331,16.927679,16.881595,16.856130,16.898920,0.036352
Triple_ItemCFb_MF_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned+UserCF_tuned,0.55+0.40+0.05,16.881036,16.952035,16.930540,16.878600,16.854806,16.899404,0.036052
Triple_ItemCFb_MFb_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.60+0.20+0.20,16.869731,16.954741,16.930405,16.883247,16.860069,16.899638,0.036638
Triple_ItemCFb_MF_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned+UserCF_tuned,0.60+0.35+0.05,16.880820,16.953980,16.929562,16.880555,16.855401,16.900063,0.036119
Triple_ItemCFb_MF_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned+UserCF_tuned,0.65+0.20+0.15,16.872023,16.955643,16.929894,16.883923,16.859399,16.900176,0.036549
Triple_ItemCF_MFb_UserCF,ItemCF_tuned+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.45+0.35+0.20,16.869136,16.950279,16.940346,16.881410,16.860449,16.900324,0.037464
Triple_ItemCFb_MF_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned+UserCF_tuned,0.35+0.40+0.25,16.868584,16.948683,16.941148,16.878822,16.864830,16.900414,0.036701
Triple_ItemCFb_MFb_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.35+0.50+0.15,16.880906,16.951231,16.936424,16.875551,16.858228,16.900468,0.036490
Triple_ItemCF_MFb_UserCF,ItemCF_tuned+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.45+0.40+0.15,16.874075,16.950639,16.939501,16.880386,16.858411,16.900602,0.037173
Triple_ItemCF_MFb_UserCF,ItemCF_tuned+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.40+0.40+0.20,16.871482,16.950153,16.941664,16.880416,16.861003,16.900944,0.037321
Triple_ItemCF_MFb_UserCF,ItemCF_tuned+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.50+0.35+0.15,16.872869,16.952014,16.939367,16.882296,16.859095,16.901128,0.037340
Triple_ItemCFb_MFb_UserCF,ItemCF_tuned_baseline_ru6_ri10+MF_tuned_baseline_ru6_ri10+UserCF_tuned,0.65+0.25+0.10,16.879492,16.958127,16.928601,16.883896,16.857558,16.901535,0.036514
