name,fold_1_rmse,fold_2_rmse,fold_3_rmse,fold_4_rmse,fold_5_rmse,mean_rmse,std_rmse,avg_train_seconds,avg_predict_seconds,avg_memory_mb
Baseline_default,17.498934,17.558273,17.577378,17.484324,17.504256,17.524633,0.036371,0.7073,0.0064,0.7462
Baseline_ru6_ri10,17.397762,17.459946,17.456418,17.375079,17.396361,17.417113,0.034501,0.6348,0.0064,0.7462
ItemCF_official_k40_n200_sh50_mc2,17.071172,17.180418,17.148941,17.101887,17.060635,17.112610,0.045719,5.8993,0.9759,97.4959
ItemCF_k40_n320_sh50_mc2,17.022024,17.114123,17.084477,17.046726,17.010152,17.055500,0.038808,5.7511,1.1923,121.2712
ItemCF_k40_n320_sh80_mc2,17.013417,17.108116,17.073343,17.041147,17.005912,17.048387,0.038131,5.8764,1.2008,121.2712
ItemCF_k40_n320_sh120_mc2,17.008848,17.104649,17.068610,17.033224,17.001891,17.043444,0.038490,5.9058,1.2214,121.2712
ItemCF_k60_n320_sh120_mc2,17.013717,17.112993,17.072334,17.047241,17.011697,17.051596,0.038067,6.0343,1.2111,121.2712
ItemCF_k40_n240_sh120_mc2,17.050487,17.146037,17.092311,17.053581,17.035561,17.075595,0.039898,5.7628,1.0823,105.7603
UserCF_k40_n400_sh30_mc2,17.431301,17.564714,17.567459,17.538639,17.510143,17.522451,0.050067,1.1772,0.3961,26.6098
MF_official_f4_lr002_reg02,17.175169,17.220621,17.227824,17.154367,17.188664,17.193329,0.027584,15.2780,0.0429,0.9526
MF_f5_lr002_reg03,17.127724,17.257201,17.210822,17.133952,17.107568,17.167454,0.056961,15.3436,0.0383,0.9870
MF_f8_lr002_reg03,17.120708,17.166641,17.183658,17.085850,17.090671,17.129505,0.039504,15.7129,0.0427,1.0902
