block_size,changed_parameter,config,memory_mb,min_common,model,parameter_value,predict_seconds,rmse,shrinkage,similarity_top_n,sweep_group,top_k,train_seconds
256,shrinkage,shrinkage_0.0,10.991222,2,ItemCF,0.0,0.5264899449994118,18.23821884462466,0.0,80,shrinkage,20,8.435503834999508
256,shrinkage,shrinkage_5.0,10.991222,2,ItemCF,5.0,0.5498864620003587,17.6462239419209,5.0,80,shrinkage,20,9.250419224000325
256,shrinkage,shrinkage_10.0,10.991222,2,ItemCF,10.0,0.6221007920003103,17.508176064783562,10.0,80,shrinkage,20,8.07749881699965
256,shrinkage,shrinkage_20.0,10.991222,2,ItemCF,20.0,0.5448912299998483,17.44524935696549,20.0,80,shrinkage,20,7.492039361000025
256,shrinkage,shrinkage_30.0,10.991222,2,ItemCF,30.0,0.6504498580006839,17.408523221571684,30.0,80,shrinkage,20,8.00272949400005
256,shrinkage,shrinkage_50.0,10.991222,2,ItemCF,50.0,0.5956548310005019,17.396124501704342,50.0,80,shrinkage,20,7.380994039999678
256,shrinkage,shrinkage_80.0,10.991222,2,ItemCF,80.0,0.64061826499983,17.3966023688993,80.0,80,shrinkage,20,7.9015156710001975
256,min_common,min_common_1,13.011890,1,ItemCF,1,0.5606680259998029,17.561485942124737,10.0,80,min_common,20,9.026343391999944
256,min_common,min_common_2,10.991222,2,ItemCF,2,0.575877021999986,17.508176064783562,10.0,80,min_common,20,8.404673306999939
256,min_common,min_common_3,9.816940,3,ItemCF,3,0.5918677269992259,17.488583902565136,10.0,80,min_common,20,8.518709343999944
256,min_common,min_common_4,9.242733,4,ItemCF,4,0.5619564799999353,17.497014077600443,10.0,80,min_common,20,7.1565250749999905
256,min_common,min_common_5,8.884602,5,ItemCF,5,0.5327705170002446,17.536085876193066,10.0,80,min_common,20,7.071886887999426
256,top_k,top_k_5,10.991222,2,ItemCF,5,0.5745230230004381,17.914845074745703,10.0,80,top_k,5,7.962914291999368
256,top_k,top_k_10,10.991222,2,ItemCF,10,0.5861820620002618,17.601236715031217,10.0,80,top_k,10,8.832713167999827
256,top_k,top_k_20,10.991222,2,ItemCF,20,0.5189305300000342,17.508176064783562,10.0,80,top_k,20,6.988355198000136
256,top_k,top_k_30,10.991222,2,ItemCF,30,0.5994837530006407,17.50220789172081,10.0,80,top_k,30,7.049002477999238
256,top_k,top_k_40,10.991222,2,ItemCF,40,0.60283232600068,17.502088636619483,10.0,80,top_k,40,7.621704473999671
256,top_k,top_k_60,10.991222,2,ItemCF,60,0.5816866919994936,17.5022753550942,10.0,80,top_k,60,7.352023616999759
256,top_k,top_k_80,10.991222,2,ItemCF,80,0.5787800810003318,17.502247159492406,10.0,80,top_k,80,7.897275106000052
256,similarity_top_n,similarity_top_n_40,9.455006,2,ItemCF,40,0.5324293419998867,17.88694933962468,10.0,40,similarity_top_n,20,8.909382732000267
256,similarity_top_n,similarity_top_n_60,10.233395,2,ItemCF,60,0.5009402740006408,17.66893864812528,10.0,60,similarity_top_n,20,7.249969234000673
256,similarity_top_n,similarity_top_n_80,10.991222,2,ItemCF,80,0.557941526999457,17.508176064783562,10.0,80,similarity_top_n,20,7.128761638000469
256,similarity_top_n,similarity_top_n_100,11.730892,2,ItemCF,100,0.5740198450002936,17.42874081983562,10.0,100,similarity_top_n,20,7.852755889000036
256,similarity_top_n,similarity_top_n_120,12.454044,2,ItemCF,120,0.6101904759998433,17.38060141952066,10.0,120,similarity_top_n,20,7.692547163000199
256,similarity_top_n,similarity_top_n_160,13.847652,2,ItemCF,160,0.7423445539998283,17.320907978119084,10.0,160,similarity_top_n,20,7.701270336999187
256,similarity_top_n,similarity_top_n_200,15.181164,2,ItemCF,200,0.7446257419996982,17.25693576577627,10.0,200,similarity_top_n,20,8.055964082999708
64,block_size,block_size_64,10.991222,2,ItemCF,64,0.6104923709999639,17.5081760647499,10.0,80,block_size,20,20.051888795000195
128,block_size,block_size_128,10.991222,2,ItemCF,128,0.6178910420003376,17.508176065881578,10.0,80,block_size,20,13.990793295999538
256,block_size,block_size_256,10.991222,2,ItemCF,256,0.8431378520008366,17.508176064783562,10.0,80,block_size,20,9.54585972300083
512,block_size,block_size_512,10.991222,2,ItemCF,512,0.6475464420000208,17.50817606590282,10.0,80,block_size,20,8.375347446999513
1024,block_size,block_size_1024,10.991222,2,ItemCF,1024,0.6446089930004746,17.508176065487113,10.0,80,block_size,20,5.0975532550000935
256,top_k+similarity_top_n,joint_40+120,12.454044,2,ItemCF,40+120,0.6897910140005479,17.362171261242665,10.0,120,joint,40,9.733225603999927
256,top_k+similarity_top_n+shrinkage,joint_40+200+50,15.181164,2,ItemCF,40+200+50,1.2745729769994796,17.162894748179248,50.0,200,joint,40,10.603461404998598
